prompt_id,num_correct,pass_at_1,pass_at_32
gsm8k_validation_00228,103,0.201171875,0.999414682260423
gsm8k_validation_00229,43,0.083984375,0.9449725230217648
gsm8k_validation_00230,238,0.46484375,0.9999999991627598
gsm8k_validation_00231,161,0.314453125,0.9999964528289688
gsm8k_validation_00232,368,0.71875,1.0
gsm8k_validation_00233,19,0.037109375,0.7132279826057071
gsm8k_validation_00234,17,0.033203125,0.6721720689769037
gsm8k_validation_00235,225,0.439453125,0.9999999959674696
gsm8k_validation_00236,284,0.5546875,0.999999999998432
gsm8k_validation_00237,347,0.677734375,1.0
gsm8k_validation_00238,169,0.330078125,0.9999983623448044
gsm8k_validation_00239,22,0.04296875,0.7656231570807317
gsm8k_validation_00240,10,0.01953125,0.4786431676225428
gsm8k_validation_00241,410,0.80078125,1.0
gsm8k_validation_00242,185,0.361328125,0.9999996707426031
gsm8k_validation_00243,16,0.03125,0.6495632461477248
gsm8k_validation_00244,381,0.744140625,1.0
gsm8k_validation_00245,15,0.029296875,0.625447168463267
gsm8k_validation_00246,146,0.28515625,0.9999856060680213
gsm8k_validation_00247,63,0.123046875,0.9870137004826833
gsm8k_validation_00248,448,0.875,1.0
gsm8k_validation_00249,215,0.419921875,0.9999999871526458
gsm8k_validation_00250,104,0.203125,0.9994604772913923
gsm8k_validation_00251,242,0.47265625,0.9999999994920276
gsm8k_validation_00252,227,0.443359375,0.9999999968179747
gsm8k_validation_00253,77,0.150390625,0.9954601348731695
gsm8k_validation_00254,448,0.875,1.0
gsm8k_validation_00255,133,0.259765625,0.9999537998741911
gsm8k_validation_00256,315,0.615234375,0.99999999999999
gsm8k_validation_00257,322,0.62890625,0.9999999999999972
gsm8k_validation_00258,285,0.556640625,0.9999999999986521
gsm8k_validation_00259,280,0.546875,0.9999999999971491
gsm8k_validation_00260,269,0.525390625,0.9999999999860386
gsm8k_validation_00261,373,0.728515625,1.0
gsm8k_validation_00262,9,0.017578125,0.4432218966329915
gsm8k_validation_00263,232,0.453125,0.9999999982536443
gsm8k_validation_00264,304,0.59375,0.9999999999999342
gsm8k_validation_00265,244,0.4765625,0.9999999996054978
gsm8k_validation_00266,10,0.01953125,0.4786431676225428
gsm8k_validation_00267,28,0.0546875,0.84404656603567
gsm8k_validation_00268,18,0.03515625,0.693364985729912
gsm8k_validation_00269,302,0.58984375,0.9999999999999082
gsm8k_validation_00270,143,0.279296875,0.9999810893825244
gsm8k_validation_00271,98,0.19140625,0.9991230758526934
